DATA;PIB;INFLACAO;JUROS;CAMBIO
dez/20;1312,31604;0,0014;0,00%;-2,82%
set/20;1314,947021;0,0072;0,00%;-1,24%
jun/20;1225,197021;0,0034;0,00%;-1,91%
mar/20;1332,588013;-0,0088;0,00%;1,82%
dez/19;1332,975952;0,0039;0,00%;-1,65%
set/19;1329,506958;0,0026;-0,25%;1,98%
jun/19;1327,340942;0,0123;-0,25%;-0,03%
mar/19;1319,438965;-0,0016;-0,25%;1,64%
dez/18;1311,093994;0,0019;-0,25%;-0,10%
set/18;1295,567993;0,0076;-0,50%;-0,17%
jun/18;1305,536011;0,0107;-0,50%;2,38%
mar/18;1292,317017;0,0005;-0,50%;0,63%
dez/17;1286,618042;0,0022;-0,50%;0,24%
set/17;1284,802002;0,0054;-0,50%;-1,08%
jun/17;1273,026001;0,0087;-0,50%;-2,05%
mar/17;1256,779053;0,0012;-0,50%;-0,47%
dez/16;1250,350952;0,0061;-0,50%;2,08%
set/16;1239,862061;0,0017;-0,50%;0,45%
jun/16;1236,102051;0,0057;-0,50%;1,40%
mar/16;1235,529053;0,0008;-0,50%;-1,28%
dez/15;1235,996948;0,0021;-0,35%;0,35%
set/15;1227,022949;-0,0005;-0,35%;0,38%
jun/15;1210,483032;0,0041;-0,25%;-1,33%
mar/15;1198,416016;-0,0051;-0,25%;3,47%
dez/14;1181,791016;0,0008;0,00%;2,64%
set/14;1172,660034;-0,0019;0,25%;2,58%
jun/14;1164,392944;0,0063;0,75%;1,08%
mar/14;1154,89502;-0,0073;0,75%;0,20%
dez/13;1145,396973;0,0013;0,75%;0,06%
set/13;1137,362061;-0,0001;1,00%;-1,37%
jun/13;1132,291016;0,0027;1,00%;0,92%
mar/13;1133,213013;-0,0032;1,00%;0,14%
dez/12;1118,098022;0,0015;1,00%;-0,32%
set/12;1125,712036;-0,0038;1,25%;-1,74%
jun/12;1127,262939;0,0049;1,50%;1,72%
mar/12;1125,61499;-0,0019;1,50%;-1,40%
dez/11;1123,832031;0,0070;2,00%;0,20%
set/11;1139,286011;0,0011;2,00%;2,85%
jun/11;1125,046021;0,0113;1,75%;0,05%
mar/11;1121,30603;0,0037;1,50%;-1,97%
dez/10;1117,112061;0,0134;1,25%;-0,05%
set/10;1099,60498;0,0005;0,75%;-4,54%
jun/10;1086,18396;0,0050;0,25%;2,67%
mar/10;1064,261963;-0,0001;0,25%;0,22%
;;;;
